511111019862,Baking,BAKING,test brand @1612366101024,0,601ac115be37ce2ead437551,601ac114be37ce2ead437550,Cogs,null
511111519928,Beverages,BEVERAGES,Starbucks,0,601c5460be37ce2ead43755f,5332f5fbe4b03c9a25efd0ba,Cogs,STARBUCKS
511111819905,Baking,BAKING,test brand @1612366146176,0,601ac142be37ce2ead43755d,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146176
511111519874,Baking,BAKING,test brand @1612366146051,0,601ac142be37ce2ead43755a,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146051
511111319917,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,0,601ac142be37ce2ead43755e,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1612366146827
511111719885,Baking,BAKING,test brand @1612366146091,0,601ac142be37ce2ead43755b,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146091
511111219897,Baking,BAKING,test brand @1612366146133,0,601ac142be37ce2ead43755c,601ac142be37ce2ead437559,Cogs,TEST BRANDCODE @1612366146133
511111104810,Condiments & Sauces,null,J.L. Kraft,null,5cdad0f5166eb33eb7ce0faa,559c2234e4b06aca36af13c6,Cogs,J.L. KRAFT
511111504412,Canned Goods & Soups,null,Campbell's Home Style,0,5ab15636e4b0be0a89bb0b07,5a734034e4b0d58f376be874,Cogs,CAMPBELLS HOME STYLE
511111504788,Baking,null,test,null,5c408e8bcd244a1fdb47aee7,59ba6f1ce4b092b29c167346,Cogs,TEST
511111516354,Baking,BAKING,test brand @1598813526777,null,5f4bf556be37ce0b4491554d,5f4bf556be37ce0b44915549,Cogs,TEST BRANDCODE @1598813526777
511111102540,null,null,MorningStar,null,57c08106e4b0718ff5fcb02c,5332f5f2e4b03c9a25efd0aa,Cpgs,null
511111201076,Baking,null,Calumet,0,588ba07be4b02187f85cdadd,559c2234e4b06aca36af13c6,Cogs,CALUMET
511111205012,Magazines,null,Entertainment Weekly,null,5d6413156d5f3b23d1bc790a,5d5d4fd16d5f3b23d1bc7905,Cogs,511111205012
511111801801,Breakfast & Cereal,null,AUNT JEMIMA Syrup,0,585a9611e4b03e62d1ce0e74,5332f5fbe4b03c9a25efd0ba,Cogs,AUNT JEMIMA SYRUP
511111202233,Beer Wine Spirits,null,Molson Canadian,0,57e5820ce4b0ac389136a311,5332f709e4b03c9a25efd0f1,Cpgs,MOLSON
